"id","gender","age","citizenship","previous_offences","kpp","kpw","counts"
"OIO-1386276724N","M",25,"POLAND","Different offences","KA KMP Zabrze","KA KWP Katowice",1
"OIO-1386276838P","M",37,"POLAND","No knowledge","LD KMP Łódź","LD KWP Łódź",1
"OIO-13862893G","M",45,"POLAND","No cirminal history","LD KPP Łódź Wschód","LD KWP Łódź",1
"OIO-1386344N","M",61,"POLAND","No cirminal history","KA KPP Wodzisław Śląski","KA KWP Katowice",1
"OIO-1386351007F","K",33,"POLAND","No cirminal history","KK KPP Wadowice","KK KWP Kraków",1
"OIO-1386351634U","M",28,"POLAND","No knowledge","BG KMP Toruń","BG KWP Bydgoszcz",1
"OIO-1386356627U","M",26,"POLAND","No knowledge","GD KPP Chojnice","GD KWP Gdańsk",1
"OIO-1386360428T","M",28,"POLAND","No knowledge","KA KMP Częstochowa","KA KWP Katowice",1
"OIO-1386360908M","M",37,"POLAND","No cirminal history","GD KPP Chojnice","GD KWP Gdańsk",1
"OIO-1386366287T","K",66,"POLAND","No cirminal history","WA KPP Otwock (KSP)","WA KSP Warszawa",1
"OIO-1386368370E","M",26,"POLAND","Different offences","OL KPP Pisz","OL KWP Olsztyn",1
"OIO-1386369T","M",58,"POLAND","No cirminal history","KK KPP Olkusz","KK KWP Kraków",1
"OIO-1386443671U","M",36,"POLAND","No knowledge","LD KMP Piotrków Tryb.","LD KWP Łódź",1
"OIO-1386450132A","M",30,"POLAND","No cirminal history","GD KPP Malbork","GD KWP Gdańsk",1
"OIO-1386454J","M",59,"POLAND","No knowledge","BK KMP Łomża","BK KWP Białystok",1
"OIO-1386455820T","M",29,"POLAND","No cirminal history","KA KMP Bytom","KA KWP Katowice",1
"OIO-1386457761K","M",26,"POLAND","No cirminal history","WA KPP Płońsk","WA KWP Radom",1
"OIO-1386458229W","M",25,"POLAND","No cirminal history","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1386463790L","M",24,"POLAND","Different offences","LU KPP Biłgoraj","LU KWP Lublin",1
"OIO-1386465526L","M",30,"POLAND","No knowledge","KA KPP Lubliniec","KA KWP Katowice",1
"OIO-1386468486W","M",26,"POLAND","No cirminal history","KI KPP Staszów","KI KWP Kielce",1
"OIO-1386469359G","M",27,"POLAND","Different offences","WR KPP Dzierżoniów","WR KWP Wrocław",1
"OIO-1386472491W","M",28,"POLAND","No cirminal history","KA KPP Racibórz","KA KWP Katowice",1
"OIO-1386474587A","M",70,"POLAND","No cirminal history","WR KMP Wrocław","WR KWP Wrocław",1
"OIO-1386474716X","K",55,"MONGOLIA","No cirminal history","LD KMP Łódź","LD KWP Łódź",1
"OIO-1386476W","M",58,"POLAND","No cirminal history","KI KMP Kielce","KI KWP Kielce",1
"OIO-1386482381R","K",43,"POLAND","No cirminal history","OL KPP Szczytno","OL KWP Olsztyn",1
"OIO-1386485635T","M",32,"POLAND","No knowledge","WR KMP Wałbrzych","WR KWP Wrocław",1
"OIO-1386486156G","M",27,"POLAND","Simmilar offences","BK KMP Białystok","BK KWP Białystok",1
"OIO-1386488629R","M",50,"POLAND","No cirminal history","PO KPP Września","PO KWP Poznań",1
"OIO-1386490900Q","M",30,"POLAND","No cirminal history","WR KPP Lwówek Śląski","WR KWP Wrocław",1
"OIO-1386491037N","M",37,"POLAND","Simmilar offences","LD KMP Łódź","LD KWP Łódź",1
"OIO-1386491112Q","M",26,"POLAND","Different offences","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1386495971U","K",55,"POLAND","No knowledge","LU KPP Kraśnik","LU KWP Lublin",1
"OIO-1386500404W","M",51,"POLAND","No cirminal history","PO KPP Kościan","PO KWP Poznań",1
"OIO-1386506417K","K",47,"POLAND","No knowledge","LD KMP Piotrków Tryb.","LD KWP Łódź",1
"OIO-13865103C","M",57,"POLAND","No knowledge","OL KPP Nowe Miasto Lub.","OL KWP Olsztyn",1
"OIO-1386550885C","M",30,"POLAND","No knowledge","KK KMP Kraków","KK KWP Kraków",1
"OIO-1386557359K","M",29,"POLAND","No cirminal history","OL KPP Kętrzyn","OL KWP Olsztyn",1
"OIO-1386558163Y","M",23,"POLAND","No knowledge","WA KPP Przasnysz","WA KWP Radom",1
"OIO-1386573847E","M",23,"POLAND","No cirminal history","KK KMP Tarnów","KK KWP Kraków",1
"OIO-1386579080M","M",27,"POLAND","No knowledge","GO KPP Nowa Sól","GO KWP Gorzów Wlkp.",1
"OIO-1386583861Q","M",21,"POLAND","No knowledge","KK KMP Kraków","KK KWP Kraków",1
"OIO-1386585257F","M",54,"POLAND","No knowledge","GD KPP Kartuzy","GD KWP Gdańsk",1
"OIO-1386589350W","M",33,"POLAND","No cirminal history","GD KPP Wejherowo","GD KWP Gdańsk",1
"OIO-1386589350W","M",33,"POLAND","No knowledge","GD KPP Wejherowo","GD KWP Gdańsk",2
"OIO-1386592020C","M",30,"POLAND","No knowledge","WR KPP Lwówek Śląski","WR KWP Wrocław",1
"OIO-1386597999W","M",43,"POLAND","No cirminal history","LD KPP Sieradz","LD KWP Łódź",1
"OIO-13865980G","M",59,"POLAND","No knowledge","KA KPP Zawiercie","KA KWP Katowice",1
"OIO-1386599996C","M",58,"POLAND","No cirminal history","GD KPP Wejherowo","GD KWP Gdańsk",1
"OIO-1386600335G","M",26,"POLAND","Different offences","GD KPP Nowy Dwór Gd.","GD KWP Gdańsk",1
"OIO-1386602973H","M",60,"POLAND","No cirminal history","GD KPP Tczew","GD KWP Gdańsk",1
"OIO-1386604068Q","M",29,"POLAND","No cirminal history","RZ KMP Krosno","RZ KWP Rzeszów",1
"OIO-1386647531W","K",32,"POLAND","No cirminal history","WA KMP Radom","WA KWP Radom",1
"OIO-1386651157W","M",35,"POLAND","No cirminal history","KK KMP Tarnów","KK KWP Kraków",1
"OIO-1386654407H","M",49,"POLAND","No cirminal history","OL KPP Ostróda","OL KWP Olsztyn",1
"OIO-1386654767E","K",49,"POLAND","No cirminal history","WA KPP Przysucha","WA KWP Radom",1
"OIO-1386656389N","M",27,"POLAND","No cirminal history","GD KPP Chojnice","GD KWP Gdańsk",1
"OIO-1386657125J","M",26,"POLAND","No knowledge","RZ KPP Sanok","RZ KWP Rzeszów",1
"OIO-1386660029F","M",27,"POLAND","No knowledge","WA KMP Płock","WA KWP Radom",1
"OIO-1386662315X","M",31,"POLAND","No cirminal history","BG KPP Brodnica","BG KWP Bydgoszcz",1
"OIO-1386669281E","M",31,"POLAND","No knowledge","BG KPP Nakło nad Notecią","BG KWP Bydgoszcz",1
"OIO-1386672020R","M",27,"POLAND","No knowledge","RZ KPP Stalowa Wola","RZ KWP Rzeszów",1
"OIO-1386721F","M",71,"POLAND","Simmilar offences","KA KMP Bytom","KA KWP Katowice",1
"OIO-1386741772H","M",33,"POLAND","No knowledge","PO KPP Ostrzeszów","PO KWP Poznań",1
"OIO-1386742928D","M",40,"POLAND","No knowledge","WA KPP Grodzisk Maz. (KSP)","WA KSP Warszawa",1
"OIO-1386746917X","M",23,"POLAND","Simmilar offences","SC KPP Goleniów","SC KWP Szczecin",1
"OIO-1386757506U","K",41,"POLAND","No cirminal history","RZ KMP Rzeszów","RZ KWP Rzeszów",1
"OIO-13868114T","M",40,"POLAND","No cirminal history","KA KPP Żywiec","KA KWP Katowice",1
"OIO-13868177X","M",57,"POLAND","No cirminal history","WA KPP Pruszków (KSP)","WA KSP Warszawa",1
"OIO-1386844797F","M",22,"POLAND","No knowledge","KA KMP Gliwice","KA KWP Katowice",1
"OIO-1386846233H","M",29,"POLAND","Simmilar offences","GD KPP Człuchów","GD KWP Gdańsk",1
"OIO-1386846430R","K",41,"POLAND","No cirminal history","WA KRP Warszawa VII (KSP)","WA KSP Warszawa",1
"OIO-1386847004M","M",31,"POLAND","Simmilar offences","LU KMP Biała Podlaska","LU KWP Lublin",1
"OIO-13868671L","M",45,"POLAND","No cirminal history","LU KPP Łuków","LU KWP Lublin",1
"OIO-1386945572X","M",27,"POLAND","Simmilar offences","RZ KPP Jarosław","RZ KWP Rzeszów",1
"OIO-1386951793K","K",42,"POLAND","Simmilar offences","KI KPP Busko-Zdrój","KI KWP Kielce",1
"OIO-1386952012N","M",27,"POLAND","Different offences","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1386954861F","M",30,"POLAND","No cirminal history","GO KMP Zielona Góra","GO KWP Gorzów Wlkp.",1
"OIO-1386956178D","M",52,"POLAND","No cirminal history","GD KMP Gdańsk","GD KWP Gdańsk",1
"OIO-1386956719L","M",46,"POLAND","No knowledge","KA KMP Katowice","KA KWP Katowice",1
"OIO-1386957021E","M",25,"POLAND","Simmilar offences","PO KPP Czarnków","PO KWP Poznań",1
"OIO-1386957291J","M",33,"POLAND","No cirminal history","RZ KPP Leżajsk","RZ KWP Rzeszów",1
"OIO-1386957421Y","M",31,"POLAND","No knowledge","OL KPP Ełk","OL KWP Olsztyn",1
"OIO-1387016Q","M",66,"POLAND","No knowledge","PO KPP Kępno","PO KWP Poznań",1
"OIO-1387040055A","M",28,"POLAND","No cirminal history","PO KMP Poznań","PO KWP Poznań",1
"OIO-1387041092Y","M",22,"POLAND","No knowledge","KA KMP Mysłowice","KA KWP Katowice",1
"OIO-1387041512C","M",27,"POLAND","No cirminal history","KK KMP Tarnów","KK KWP Kraków",1
"OIO-1387053420D","M",60,"POLAND","Simmilar offences","LU KMP Biała Podlaska","LU KWP Lublin",1
"OIO-1387054356Y","K",44,"POLAND","No cirminal history","GD KPP Wejherowo","GD KWP Gdańsk",1
"OIO-1387140480A","K",40,"POLAND","No cirminal history","OP KPP Nysa","OP KWP Opole",1
"OIO-1387141432R","M",28,"POLAND","Simmilar offences","LU KMP Lublin","LU KWP Lublin",1
"OIO-1387240577T","M",33,"POLAND","No knowledge","KK KMP Nowy Sącz","KK KWP Kraków",1
"OIO-1387344766X","M",52,"POLAND","No cirminal history","LU KPP Krasnystaw","LU KWP Lublin",1
"OIO-1387540451U","M",60,"POLAND","No cirminal history","KA KMP Bielsko-Biała","KA KWP Katowice",1
"OIO-1387540453H","M",30,"POLAND","Simmilar offences","KA KPP Będzin","KA KWP Katowice",1
"OIO-1387542465E","M",33,"POLAND","No cirminal history","BG KPP Żnin","BG KWP Bydgoszcz",1
"OIO-1387544080Y","M",25,"POLAND","Different offences","OP KPP Nysa","OP KWP Opole",1
"OIO-1387544921W","M",31,"POLAND","No knowledge","SC KPP Kołobrzeg","SC KWP Szczecin",1
"OIO-138766283T","M",40,"POLAND","No cirminal history","SC KPP Wałcz","SC KWP Szczecin",1
"OIO-138767424W","M",35,"POLAND","Different offences","LD KMP Łódź","LD KWP Łódź",1
"OIO-138767436J","K",38,"POLAND","No knowledge","SC KPP Drawsko Pomorskie","SC KWP Szczecin",1
"OIO-138779215H","M",33,"POLAND","No cirminal history","KA KMP Katowice","KA KWP Katowice",1
"OIO-1387840803K","M",32,"POLAND","No knowledge","OL KPP Działdowo","OL KWP Olsztyn",1
"OIO-13879555H","M",37,"POLAND","Different offences","LU KPP Ryki","LU KWP Lublin",1
"OIO-1388140383C","M",30,"POLAND","No cirminal history","KK KPP Nowy Targ","KK KWP Kraków",1
"OIO-1388141707P","M",25,"POLAND","Different offences","WR KMP Wrocław","WR KWP Wrocław",1
"OIO-138816308R","M",27,"POLAND","Simmilar offences","WA KRP Warszawa III (KSP)","WA KSP Warszawa",1
"OIO-138817345R","M",38,"POLAND","No cirminal history","PO KPP Kościan","PO KWP Poznań",1
"OIO-1388254676Y","M",52,"POLAND","No cirminal history","WA KRP Warszawa VI (KSP)","WA KSP Warszawa",1
"OIO-1388257209G","M",42,"POLAND","Different offences","KA KMP Sosnowiec","KA KWP Katowice",1
"OIO-1388261451Y","M",40,"POLAND","No knowledge","WR KPP Zgorzelec","WR KWP Wrocław",1
"OIO-1388267369L","K",22,"POLAND","No knowledge","LD KMP Łódź","LD KWP Łódź",1
"OIO-1388267565A","M",27,"POLAND","No knowledge","GD KMP Gdynia","GD KWP Gdańsk",1
"OIO-1388270611C","K",37,"POLAND","No cirminal history","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1388280340A","M",26,"POLAND","No cirminal history","LD KMP Łódź","LD KWP Łódź",1
"OIO-1388280658E","M",27,"POLAND","No cirminal history","WR KPP Dzierżoniów","WR KWP Wrocław",1
"OIO-1388280789A","M",52,"POLAND","No cirminal history","GD KMP Słupsk","GD KWP Gdańsk",1
"OIO-1388290398D","M",36,"POLAND","No knowledge","KK KPP Olkusz","KK KWP Kraków",1
"OIO-1388295407A","M",22,"POLAND","No knowledge","PO KMP Konin","PO KWP Poznań",1
"OIO-1388297893E","M",37,"POLAND","No cirminal history","LD KMP Łódź","LD KWP Łódź",1
"OIO-1388302120J","M",23,"POLAND","No knowledge","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1388309525J","M",27,"POLAND","Different offences","KK KPP Olkusz","KK KWP Kraków",1
"OIO-1388310005E","M",28,"POLAND","No knowledge","WR KPP Jawor","WR KWP Wrocław",1
"OIO-1388320004X","M",25,"POLAND","No knowledge","LD KMP Łódź","LD KWP Łódź",1
"OIO-1388326862M","M",28,"POLAND","No knowledge","LU KPP Kraśnik","LU KWP Lublin",1
"OIO-1388327849R","M",39,"POLAND","No knowledge","KA KPP Wodzisław Śląski","KA KWP Katowice",1
"OIO-1388331755X","M",71,"POLAND","No cirminal history","WR KPP Świdnica","WR KWP Wrocław",1
"OIO-1388331953M","M",38,"POLAND","Different offences","GD KPP Kwidzyn","GD KWP Gdańsk",1
"OIO-1388334182M","M",26,"POLAND","No knowledge","KI KPP Starachowice","KI KWP Kielce",1
"OIO-1388342064G","K",37,"POLAND","No cirminal history","BK KMP Łomża","BK KWP Białystok",1
"OIO-1388344771Q","M",26,"POLAND","No cirminal history","PO KMP Kalisz","PO KWP Poznań",1
"OIO-1388347075L","M",45,"POLAND","No cirminal history","RZ KPP Lesko","RZ KWP Rzeszów",1
"OIO-1388350009J","M",38,"POLAND","No knowledge","WR KMP Wałbrzych","WR KWP Wrocław",1
"OIO-1388352405K","M",55,"POLAND","No cirminal history","WR KMP Legnica","WR KWP Wrocław",1
"OIO-1388355218G","M",26,"POLAND","No cirminal history","OP KPP Olesno","OP KWP Opole",1
"OIO-1388358270W","M",25,"POLAND","No knowledge","OL KMP Olsztyn","OL KWP Olsztyn",1
"OIO-1388360117J","M",68,"POLAND","No knowledge","GD KPP Bytów","GD KWP Gdańsk",1
"OIO-1388360763U","M",38,"POLAND","No cirminal history","SC KPP Szczecinek","SC KWP Szczecin",1
"OIO-1388444215Y","M",33,"POLAND","No cirminal history","PO KPP Czarnków","PO KWP Poznań",1
"OIO-1388445915H","M",28,"POLAND","No cirminal history","RZ KPP Lubaczów","RZ KWP Rzeszów",1
"OIO-1388448529X","M",30,"POLAND","No cirminal history","PO KPP Jarocin","PO KWP Poznań",1
"OIO-1388455468W","M",28,"POLAND","Different offences","WR KPP Polkowice","WR KWP Wrocław",1
"OIO-1388461820G","M",26,"POLAND","Different offences","RZ KMP Rzeszów","RZ KWP Rzeszów",1
"OIO-1388463334R","M",64,"POLAND","No cirminal history","GD KPP Kwidzyn","GD KWP Gdańsk",1
"OIO-1388466462W","M",49,"POLAND","No cirminal history","BG KMP Bydgoszcz","BG KWP Bydgoszcz",1
"OIO-1388477834R","K",64,"POLAND","No knowledge","GO KPP Świebodzin","GO KWP Gorzów Wlkp.",1
"OIO-1388492212C","M",27,"POLAND","No cirminal history","KK KMP Kraków","KK KWP Kraków",1
"OIO-1388494646M","M",35,"POLAND","No cirminal history","KK KMP Tarnów","KK KWP Kraków",1
"OIO-1388498915C","K",49,"POLAND","Simmilar offences","KA KMP Gliwice","KA KWP Katowice",1
"OIO-1388499371H","M",22,"POLAND","No knowledge","WA KRP Warszawa I (KSP)","WA KSP Warszawa",1
"OIO-1388502293P","M",47,"ROMANIA","No cirminal history","BK KPP Sokółka","BK KWP Białystok",1
"OIO-1388502588U","M",26,"POLAND","No knowledge","WR KMP Legnica","WR KWP Wrocław",1
"OIO-1388503998J","M",36,"POLAND","No knowledge","WR KMP Wrocław","WR KWP Wrocław",1
"OIO-1388506020J","M",28,"POLAND","Different offences","WR KPP Głogów","WR KWP Wrocław",1
"OIO-1388507965F","M",49,"POLAND","No knowledge","WR KPP Zgorzelec","WR KWP Wrocław",1
"OIO-1388514201K","M",32,"POLAND","Simmilar offences","LD KPP Kutno","LD KWP Łódź",1
"OIO-1388519330E","M",26,"POLAND","No cirminal history","BG KPP Wąbrzeźno","BG KWP Bydgoszcz",1
"OIO-1388520523K","K",43,"POLAND","No knowledge","KK KMP Tarnów","KK KWP Kraków",1
"OIO-1388528073R","M",26,"POLAND","Different offences","KA KMP Gliwice","KA KWP Katowice",1
"OIO-1388532626D","M",55,"POLAND","No knowledge","RZ KPP Leżajsk","RZ KWP Rzeszów",1
"OIO-1388538737F","M",28,"POLAND","No knowledge","WA KMP Siedlce","WA KWP Radom",1
"OIO-1388544362E","M",27,"POLAND","Different offences","LU KMP Biała Podlaska","LU KWP Lublin",1
"OIO-1388545712F","M",26,"POLAND","Simmilar offences","OP KPP Namysłów","OP KWP Opole",1
"OIO-1388547369N","M",27,"POLAND","Simmilar offences","KI KMP Kielce","KI KWP Kielce",1
"OIO-1388548969K","M",27,"POLAND","Simmilar offences","KA KMP Bielsko-Biała","KA KWP Katowice",2
"OIO-1388553502C","M",27,"POLAND","Different offences","LD KPP Radomsko","LD KWP Łódź",1
"OIO-1388556647G","M",44,"POLAND","No cirminal history","GD KPP Chojnice","GD KWP Gdańsk",1
"OIO-1388562186Y","M",45,"POLAND","Simmilar offences","BG KPP Lipno","BG KWP Bydgoszcz",1
"OIO-1388567221P","K",37,"POLAND","No cirminal history","BK KMP Łomża","BK KWP Białystok",1
"OIO-1388577691Y","M",27,"POLAND","No knowledge","LD KMP Piotrków Tryb.","LD KWP Łódź",1
"OIO-1388584056U","M",51,"POLAND","No knowledge","LD KMP Łódź","LD KWP Łódź",1
"OIO-1388586777H","K",39,"POLAND","No knowledge","KA KPP Zawiercie","KA KWP Katowice",1
"OIO-1388589935R","M",33,"POLAND","No knowledge","KK KMP Kraków","KK KWP Kraków",1
"OIO-1388592166W","M",26,"POLAND","No cirminal history","LD KPP Łęczyca","LD KWP Łódź",1
"OIO-138859438X","M",34,"POLAND","Simmilar offences","LD KMP Piotrków Tryb.","LD KWP Łódź",1
"OIO-1388594963L","M",29,"POLAND","No knowledge","PO KPP Chodzież","PO KWP Poznań",1
"OIO-1388595055C","M",52,"POLAND","No cirminal history","RZ KMP Rzeszów","RZ KWP Rzeszów",1
"OIO-1388595445W","M",48,"POLAND","No cirminal history","KA KPP Bieruń","KA KWP Katowice",1
"OIO-1388597692Y","M",27,"POLAND","No knowledge","WA KPP Ciechanów","WA KWP Radom",1
"OIO-1388604955X","M",27,"POLAND","Different offences","WR KPP Polkowice","WR KWP Wrocław",1
"OIO-1388604955X","M",27,"POLAND","Simmilar offences","WR KPP Polkowice","WR KWP Wrocław",1
"OIO-138861301C","M",28,"POLAND","No cirminal history","PO KPP Międzychód","PO KWP Poznań",1
"OIO-138861345D","M",37,"POLAND","Simmilar offences","PO KPP Kępno","PO KWP Poznań",1
"OIO-1388618297R","M",45,"POLAND","No cirminal history","WR KPP Jawor","WR KWP Wrocław",1
"OIO-1388627427T","M",28,"POLAND","Different offences","BG KPP Radziejów","BG KWP Bydgoszcz",1
"OIO-1388643315J","M",28,"POLAND","Different offences","GD KPP Kartuzy","GD KWP Gdańsk",1
"OIO-1388643994D","M",35,"UKRAINE","No cirminal history","BG KMP Bydgoszcz","BG KWP Bydgoszcz",1
"OIO-1388645019G","K",41,"POLAND","No cirminal history","WA KPP Wołomin (KSP)","WA KSP Warszawa",1
"OIO-1388649982F","M",26,"POLAND","No cirminal history","OP KPP Nysa","OP KWP Opole",1
"OIO-1388656313H","M",28,"POLAND","Different offences","WA KMP Ostrołęka","WA KWP Radom",1
"OIO-1388662271G","M",62,"POLAND","No cirminal history","WA KMP Płock","WA KWP Radom",1
"OIO-1388667452C","M",22,"POLAND","No cirminal history","WA KRP Warszawa VII (KSP)","WA KSP Warszawa",1
"OIO-1388667893A","M",38,"POLAND","No knowledge","OL KPP Iława","OL KWP Olsztyn",1
"OIO-1388669993C","M",27,"POLAND","No knowledge","BG KPP Żnin","BG KWP Bydgoszcz",1
"OIO-1388676631Y","M",27,"POLAND","Simmilar offences","KA KMP Jastrzębie-Zdrój","KA KWP Katowice",1
"OIO-1388682617D","M",36,"POLAND","No cirminal history","WR KMP Legnica","WR KWP Wrocław",1
"OIO-1388684642F","M",27,"POLAND","Different offences","PO KPP Nowy Tomyśl","PO KWP Poznań",1
"OIO-1388686641U","M",35,"POLAND","Simmilar offences","KA KMP Bielsko-Biała","KA KWP Katowice",1
"OIO-1388690223H","M",23,"POLAND","No cirminal history","WA KPP Wołomin (KSP)","WA KSP Warszawa",1
"OIO-1388693317U","M",26,"POLAND","No knowledge","OL KPP Nidzica","OL KWP Olsztyn",1
"OIO-1388748744R","M",42,"POLAND","No knowledge","OP KPP Olesno","OP KWP Opole",1
"OIO-1388752085T","M",66,"POLAND","No knowledge","WA KPP Otwock (KSP)","WA KSP Warszawa",1
"OIO-1388753584H","M",58,"POLAND","No knowledge","BG KPP Golub-Dobrzyń","BG KWP Bydgoszcz",1
"OIO-1388756258P","M",27,"POLAND","No knowledge","WR KPP Kamienna Góra","WR KWP Wrocław",1
"OIO-1388757236Y","M",27,"POLAND","No cirminal history","GD KPP Pruszcz Gd.","GD KWP Gdańsk",1
"OIO-1388766724M","M",46,"POLAND","No cirminal history","KA KMP Chorzów","KA KWP Katowice",1
"OIO-1388770093E","M",26,"POLAND","No cirminal history","KI KPP Końskie","KI KWP Kielce",1
"OIO-1388770652T","K",42,"POLAND","No knowledge","KA KMP Bielsko-Biała","KA KWP Katowice",1
"OIO-1388770667M","M",58,"POLAND","Different offences","PO KPP Nowy Tomyśl","PO KWP Poznań",1
"OIO-1388778297K","M",44,"POLAND","Simmilar offences","LD KMP Piotrków Tryb.","LD KWP Łódź",1
"OIO-1388793987W","M",30,"POLAND","No cirminal history","KA KPP Wodzisław Śląski","KA KWP Katowice",1
"OIO-1388797Q","M",63,"POLAND","Simmilar offences","KA KPP Tarnowskie Góry","KA KWP Katowice",1
"OIO-1388801356Q","M",28,"POLAND","Simmilar offences","RZ KPP Ropczyce","RZ KWP Rzeszów",1
"OIO-1388803037E","M",24,"POLAND","Simmilar offences","KA KMP Bielsko-Biała","KA KWP Katowice",1
"OIO-1388803048C","M",41,"LITHUANIA","Simmilar offences","WR KMP Wrocław","WR KWP Wrocław",1
"OIO-1388803348F","M",30,"POLAND","No cirminal history","OP KPP Nysa","OP KWP Opole",1
"OIO-1388803808L","M",22,"POLAND","Different offences","WR KPP Świdnica","WR KWP Wrocław",1
"OIO-1388804390X","M",39,"POLAND","No knowledge","BG KPP Nakło nad Notecią","BG KWP Bydgoszcz",1
"OIO-1388811729L","K",36,"POLAND","No cirminal history","KI KPP Włoszczowa","KI KWP Kielce",1
"OIO-1388812212J","M",72,"POLAND","No knowledge","OP KPP Namysłów","OP KWP Opole",1
"OIO-1388812973Q","M",40,"POLAND","No cirminal history","WA KRP Warszawa II (KSP)","WA KSP Warszawa",1
"OIO-1388814577X","M",29,"POLAND","No cirminal history","GD KPP Lębork","GD KWP Gdańsk",1
"OIO-1388817065M","M",29,"POLAND","No cirminal history","LU KMP Lublin","LU KWP Lublin",1
"OIO-1388817292H","M",24,"POLAND","Simmilar offences","PO KPP Chodzież","PO KWP Poznań",1
"OIO-1388818664T","M",31,"POLAND","No cirminal history","KI KPP Starachowice","KI KWP Kielce",1
"OIO-1388845616Y","M",48,"POLAND","No knowledge","WA KRP Warszawa I (KSP)","WA KSP Warszawa",1
"OIO-1388848431P","M",27,"POLAND","No cirminal history","LU KMP Lublin","LU KWP Lublin",1
"OIO-1388849026R","M",58,"POLAND","No cirminal history","BK KMP Łomża","BK KWP Białystok",1
"OIO-1388849104G","K",31,"POLAND","No cirminal history","WA KPP Ostrów Maz.","WA KWP Radom",1
"OIO-1388855273Y","M",54,"POLAND","No knowledge","LD KMP Piotrków Tryb.","LD KWP Łódź",1
"OIO-1388860720E","M",55,"POLAND","No cirminal history","SC KPP Stargard","SC KWP Szczecin",1
"OIO-1388873009Q","M",28,"POLAND","Different offences","OP KPP Kędzierzyn-Koźle","OP KWP Opole",1
"OIO-1388873906T","M",27,"POLAND","No cirminal history","KK KMP Kraków","KK KWP Kraków",1
"OIO-1388944884E","M",62,"POLAND","No cirminal history","KA KMP Gliwice","KA KWP Katowice",1
"OIO-1388959008Y","M",26,"POLAND","No cirminal history","RZ KPP Lesko","RZ KWP Rzeszów",1
"OIO-1388961432L","K",35,"POLAND","No cirminal history","KA KMP Gliwice","KA KWP Katowice",1
"OIO-1388962581D","M",27,"POLAND","Different offences","SC KMP Szczecin","SC KWP Szczecin",1
"OIO-1389053079X","K",45,"POLAND","No cirminal history","KK KMP Nowy Sącz","KK KWP Kraków",1
"OIO-1389053708Y","K",34,"POLAND","No cirminal history","KA KMP Bytom","KA KWP Katowice",1
"OIO-1389054753A","M",67,"POLAND","No cirminal history","LD KPP Tomaszów Maz.","LD KWP Łódź",1
"OIO-1389157424H","M",28,"POLAND","No cirminal history","WR KMP Jelenia Góra","WR KWP Wrocław",1
"OIO-1389158135M","K",61,"POLAND","No cirminal history","PO KPP Międzychód","PO KWP Poznań",1
"OIO-1389160254F","M",35,"POLAND","No cirminal history","KK KPP Gorlice","KK KWP Kraków",1
"OIO-13891653L","K",61,"POLAND","No knowledge","WA KRP Warszawa V (KSP)","WA KSP Warszawa",1
"OIO-1389206C","M",50,"POLAND","No knowledge","OP KPP Kędzierzyn-Koźle","OP KWP Opole",1
"OIO-1389251K","M",53,"","No cirminal history","WA KPP Mińsk Maz. (KSP)","WA KSP Warszawa",1
"OIO-1389253085U","M",22,"POLAND","Simmilar offences","KA KPP Racibórz","KA KWP Katowice",1
"OIO-1389255775T","M",42,"POLAND","No knowledge","BG KPP Chełmno","BG KWP Bydgoszcz",1
"OIO-1389256776R","M",30,"POLAND","No knowledge","WA KMP Ostrołęka","WA KWP Radom",1
"OIO-1389262821X","M",54,"POLAND","No cirminal history","KK KPP Kraków Okolice","KK KWP Kraków",1
"OIO-13893281E","M",40,"POLAND","Simmilar offences","WR KPP Trzebnica","WR KWP Wrocław",1
"OIO-13893408N","M",31,"POLAND","Different offences","WA KPP Otwock (KSP)","WA KSP Warszawa",1
"OIO-138935213A","M",31,"POLAND","No knowledge","WR KPP Złotoryja","WR KWP Wrocław",1
"OIO-1389552221W","M",28,"POLAND","No cirminal history","WA KPP Ciechanów","WA KWP Radom",1
"OIO-1389554046N","M",52,"POLAND","No cirminal history","RZ KPP Przeworsk","RZ KWP Rzeszów",1
"OIO-1389617Y","M",69,"POLAND","No cirminal history","WA KPP Otwock (KSP)","WA KSP Warszawa",1
"OIO-138974214C","M",31,"POLAND","Simmilar offences","PO KMP Konin","PO KWP Poznań",1
"OIO-1389750R","M",62,"POLAND","No cirminal history","KA KPP Wodzisław Śląski","KA KWP Katowice",1
"OIO-1389762781C","M",28,"POLAND","No cirminal history","LD KPP Brzeziny","LD KWP Łódź",1
"OIO-1389852947Y","M",25,"POLAND","No cirminal history","OP KPP Kędzierzyn-Koźle","OP KWP Opole",1
"OIO-1389854376C","M",58,"POLAND","No knowledge","GD KPP Kartuzy","GD KWP Gdańsk",1
"OIO-1389952647T","M",26,"POLAND","No knowledge","KK KPP Chrzanów","KK KWP Kraków",1
"OIO-1389955082R","M",68,"POLAND","No knowledge","SC KPP Świdwin","SC KWP Szczecin",1
"OIO-1389958254R","K",33,"POLAND","No cirminal history","KA KPP Zawiercie","KA KWP Katowice",1
